titles,price,selas,url,pi_url
Asus/华硕 顽石4代 -FL5900笔记本电脑轻薄便携15.6英寸游戏本i7,4299.00,3694,https://detail.tmall.com/item.htm?id=536825175726&ns=1&abbucket=0&on_comment=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1TV75SXXXXXaNXVXXXXXXXXXX_!!0-item_pic.jpg
Asus/华硕 X555YI 7110-554LXFA2X10轻薄手提游戏本笔记本电脑,2699.00,2059,https://detail.tmall.com/item.htm?id=527614082069&ns=1&abbucket=0&on_comment=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1ExppSXXXXXcrXXXXXXXXXXXX_!!0-item_pic.jpg
Hasee/神舟 战神 Z7-KP7S1 i7 6G独显gtx1060游戏本笔记本电脑,7699.00,1877,https://detail.tmall.com/item.htm?id=543437409299&ns=1&abbucket=0&on_comment=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1Ib_QOVXXXXbWapXXXXXXXXXX_!!0-item_pic.jpg
Asus/华硕 FX fx53笔记本电脑 游戏本学生i7独显飞行堡垒15.6英寸,6099.00,1875,https://detail.tmall.com/item.htm?id=543579085745&ns=1&abbucket=0&on_comment=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1xARoSpXXXXcaXpXXXXXXXXXX_!!0-item_pic.jpg
MACHENIKE 机械师F117 F1K i7独显gtx1050ti游戏本手提笔记本电脑,6999.00,1838,https://detail.tmall.com/item.htm?id=543035827310&ns=1&abbucket=0&on_comment=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1dyP0SXXXXXXFaXXXXXXXXXXX_!!0-item_pic.jpg
Asus/华硕 顽石 &mdash;FL5900U超薄15.6英寸游戏本学生笔记本电脑i7,4599.00,1831,https://detail.tmall.com/item.htm?id=529571326323&ns=1&abbucket=0&on_comment=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1S0t.SXXXXXbzXpXXXXXXXXXX_!!0-item_pic.jpg
雷神THUNDEROBOT 911 911梦想版i7独显GTX1050ti游戏本笔记本电脑,7099.00,1159,https://detail.tmall.com/item.htm?id=546655767170&ns=1&abbucket=0&on_comment=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1Za.7SXXXXXXYaXXXXXXXXXXX_!!0-item_pic.jpg
Hasee/神舟 战神 K670E-G6D1 i5 gtx1050独显游戏本笔记本电脑,5299.00,1110,https://detail.tmall.com/item.htm?id=544759775614&ns=1&abbucket=0&on_comment=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1LX7BPpXXXXbNXFXXXXXXXXXX_!!0-item_pic.jpg
笔记本电脑富士通13寸15寸宽屏双核游戏本手提上网本超级本包邮,540.00,967,https://item.taobao.com/item.htm?id=528865833792&ns=1&abbucket=0&on_comment=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1895060018/TB2VT.ZmpXXXXa1XpXXXXXXXXXX_!!1895060018.jpg
Asus/华硕 飞行堡垒 FX53VD7700独显游戏本15.6英寸笔记本电脑i7,6399.00,948,https://detail.tmall.com/item.htm?id=549223351503&ns=1&abbucket=0&on_comment=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1_t0rSpXXXXalXFXXXXXXXXXX_!!0-item_pic.jpg
Asus/华硕 F F-F441顽石畅玩版超薄14英寸笔记本电脑七代i5游戏本,3499.00,908,https://detail.tmall.com/item.htm?id=543146546502&ns=1&abbucket=0&on_comment=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1AndzSpXXXXXNXXXXXXXXXXXX_!!0-item_pic.jpg
Hasee/神舟 战神 K670D-G4D1 gtx1050 4G显存 游戏本笔记本电脑,4299.00,891,https://detail.tmall.com/item.htm?id=544732969418&ns=1&abbucket=0&on_comment=1,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1PwgwPpXXXXbwXXXXXXXXXXXX_!!0-item_pic.jpg
QRTECH 麦本本 大麦5 笔记本电脑15轻薄便捷商务手提学生游戏本i7,4299.00,882,https://detail.tmall.com/item.htm?id=548995940096&ns=1&abbucket=0&on_comment=1,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1De4vSpXXXXaMXpXXXXXXXXXX_!!0-item_pic.jpg
Asus/华硕 FX- fx53飞行堡垒15.6英寸游戏本笔记本电脑独显学生,5299.00,881,https://detail.tmall.com/item.htm?id=544574409814&ns=1&abbucket=0&on_comment=1,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB14fALRVXXXXbSaXXXXXXXXXXX_!!0-item_pic.jpg
