bj_f_rank|bj_name|bj_id|bj_rank_all|bj_follower|bj_swatch|bj_last_time|bj_last_visit|bj_last_up|bj_info_bs|bj_url|img
1|[S]셀리♥|gksk4998|10위|378,367|13,882|2005-11-26|2017-10-04 00:00|1,290 (6,660,858)|먹방쿡방비제이셀리입니다.|http://www.afreecatv.com/gksk4998|http://stimg.afreecatv.com/LOGO/gk/gksk4998/gksk4998.jpg
2|♥이슬이|dasl8121|24위|224,282|4,157|2010-09-24|2017-10-04 00:00|1,064 (2,357,626)|방송시작일♥2015.7.6 ~ 여러분 항상 감사하구 사랑해요|http://www.afreecatv.com/dasl8121|http://stimg.afreecatv.com/LOGO/da/dasl8121/dasl8121.jpg
3|[EH]이은혜|sksskslssl1|16위|43,521|856|2014-05-07|2017-10-03 04:55|648 (449,859)|팬닉은[EH] 특별한 일 없으면 매일 밤 9~10시에 만나요 :-D|http://www.afreecatv.com/sksskslssl1|http://stimg.afreecatv.com/LOGO/sk/sksskslssl1/sksskslssl1.jpg
5|양팡♥|eunz1nara|43위|107,855|2,560|2015-05-21|2017-10-03 00:00|648 (1,712,011)|스팀게임 야외방송 먹방 여캠 엽캠 춤 일상방송 무궁무진|http://www.afreecatv.com/eunz1nara|http://stimg.afreecatv.com/LOGO/eu/eunz1nara/eunz1nara.jpg
7|♡지여닝♡|jiyeoun1004|1위|79,762|7,462,411|2017-03-16|2017-10-02 22:09|1,164 (1,164,410)|여캠과 엽캠 그 사이 어디쯔음 ..☆|http://www.afreecatv.com/jiyeoun1004|http://stimg.afreecatv.com/LOGO/ji/jiyeoun1004/jiyeoun1004.jpg
6|외질혜-ㅠ-|xwx1541|19위|207,019|1,169|2012-04-14|2017-10-03 00:02|2,129 (2,830,656)|족부인|http://www.afreecatv.com/xwx1541|http://stimg.afreecatv.com/LOGO/xw/xwx1541/xwx1541.jpg
8|유소나|nila25|30위|295,893|3,926|2014-07-31|2017-10-03 13:14|926 (6,102,859)|롤이랑 노래, 라디오를 좋아하는 소나와 유팬들의 아늑한 다락방|http://www.afreecatv.com/nila25|http://stimg.afreecatv.com/LOGO/ni/nila25/nila25.jpg
10|셀링이♥|jeam27|20위|11,857|560,588|2015-01-11|2017-10-04 00:00|196 (198,731)|-since 2016.11.25|http://www.afreecatv.com/jeam27|http://stimg.afreecatv.com/LOGO/je/jeam27/jeam27.jpg
9|BJ겨울♥|rlrlvkvk123|56위|72,380|4,642|2015-08-10|2017-10-03 13:34|442 (841,825)|이리저리 둘러봐도 제일 좋은건 그대와 함께있는것|http://www.afreecatv.com/rlrlvkvk123|http://stimg.afreecatv.com/LOGO/rl/rlrlvkvk123/rlrlvkvk123.jpg
11|*망치부인*|gtv7|177위|191,814|72,198|2006-12-18|2017-10-03 00:00|647 (8,182,306)|GTv7  망치부인의 생방송시사수다|http://www.afreecatv.com/gtv7|http://stimg.afreecatv.com/LOGO/gt/gtv7/gtv7.jpg
